file_no,lo_size,tx_size,long_off,lat_off,gaps
1,0.0008,0.0008,-0.001,-0.0001,0
2,0.0008,0.0008,-0.001,-0.0001,0.00001
3,0.0008,0.0008,-0.001,-0.0001,0.00002
4,0.0008,0.0008,-0.001,-0.00005,0
5,0.0008,0.0008,-0.001,-0.00005,0.00001
6,0.0008,0.0008,-0.001,-0.00005,0.00002
7,0.0008,0.0008,-0.001,0,0
8,0.0008,0.0008,-0.001,0,0.00001
9,0.0008,0.0008,-0.001,0,0.00002
10,0.0008,0.0008,-0.001,0.00005,0
11,0.0008,0.0008,-0.001,0.00005,0.00001
12,0.0008,0.0008,-0.001,0.00005,0.00002
13,0.0008,0.0008,-0.001,0.0001,0
14,0.0008,0.0008,-0.001,0.0001,0.00001
15,0.0008,0.0008,-0.001,0.0001,0.00002
16,0.0008,0.0008,-0.0005,-0.0001,0
17,0.0008,0.0008,-0.0005,-0.0001,0.00001
18,0.0008,0.0008,-0.0005,-0.0001,0.00002
19,0.0008,0.0008,-0.0005,-0.00005,0
20,0.0008,0.0008,-0.0005,-0.00005,0.00001
21,0.0008,0.0008,-0.0005,-0.00005,0.00002
22,0.0008,0.0008,-0.0005,0,0
23,0.0008,0.0008,-0.0005,0,0.00001
24,0.0008,0.0008,-0.0005,0,0.00002
25,0.0008,0.0008,-0.0005,0.00005,0
26,0.0008,0.0008,-0.0005,0.00005,0.00001
27,0.0008,0.0008,-0.0005,0.00005,0.00002
28,0.0008,0.0008,-0.0005,0.0001,0
29,0.0008,0.0008,-0.0005,0.0001,0.00001
30,0.0008,0.0008,-0.0005,0.0001,0.00002
31,0.0008,0.0008,0,-0.0001,0
32,0.0008,0.0008,0,-0.0001,0.00001
33,0.0008,0.0008,0,-0.0001,0.00002
34,0.0008,0.0008,0,-0.00005,0
35,0.0008,0.0008,0,-0.00005,0.00001
36,0.0008,0.0008,0,-0.00005,0.00002
37,0.0008,0.0008,0,0,0
38,0.0008,0.0008,0,0,0.00001
39,0.0008,0.0008,0,0,0.00002
40,0.0008,0.0008,0,0.00005,0
41,0.0008,0.0008,0,0.00005,0.00001
42,0.0008,0.0008,0,0.00005,0.00002
43,0.0008,0.0008,0,0.0001,0
44,0.0008,0.0008,0,0.0001,0.00001
45,0.0008,0.0008,0,0.0001,0.00002
46,0.0008,0.0008,0.0005,-0.0001,0
47,0.0008,0.0008,0.0005,-0.0001,0.00001
48,0.0008,0.0008,0.0005,-0.0001,0.00002
49,0.0008,0.0008,0.0005,-0.00005,0
50,0.0008,0.0008,0.0005,-0.00005,0.00001
51,0.0008,0.0008,0.0005,-0.00005,0.00002
52,0.0008,0.0008,0.0005,0,0
53,0.0008,0.0008,0.0005,0,0.00001
54,0.0008,0.0008,0.0005,0,0.00002
55,0.0008,0.0008,0.0005,0.00005,0
56,0.0008,0.0008,0.0005,0.00005,0.00001
57,0.0008,0.0008,0.0005,0.00005,0.00002
58,0.0008,0.0008,0.0005,0.0001,0
59,0.0008,0.0008,0.0005,0.0001,0.00001
60,0.0008,0.0008,0.0005,0.0001,0.00002
61,0.0008,0.0008,0.001,-0.0001,0
62,0.0008,0.0008,0.001,-0.0001,0.00001
63,0.0008,0.0008,0.001,-0.0001,0.00002
64,0.0008,0.0008,0.001,-0.00005,0
65,0.0008,0.0008,0.001,-0.00005,0.00001
66,0.0008,0.0008,0.001,-0.00005,0.00002
67,0.0008,0.0008,0.001,0,0
68,0.0008,0.0008,0.001,0,0.00001
69,0.0008,0.0008,0.001,0,0.00002
70,0.0008,0.0008,0.001,0.00005,0
71,0.0008,0.0008,0.001,0.00005,0.00001
72,0.0008,0.0008,0.001,0.00005,0.00002
73,0.0008,0.0008,0.001,0.0001,0
74,0.0008,0.0008,0.001,0.0001,0.00001
75,0.0008,0.0008,0.001,0.0001,0.00002
76,0.0008,0.001,-0.001,-0.0001,0
77,0.0008,0.001,-0.001,-0.0001,0.00001
78,0.0008,0.001,-0.001,-0.0001,0.00002
79,0.0008,0.001,-0.001,-0.00005,0
80,0.0008,0.001,-0.001,-0.00005,0.00001
81,0.0008,0.001,-0.001,-0.00005,0.00002
82,0.0008,0.001,-0.001,0,0
83,0.0008,0.001,-0.001,0,0.00001
84,0.0008,0.001,-0.001,0,0.00002
85,0.0008,0.001,-0.001,0.00005,0
86,0.0008,0.001,-0.001,0.00005,0.00001
87,0.0008,0.001,-0.001,0.00005,0.00002
88,0.0008,0.001,-0.001,0.0001,0
89,0.0008,0.001,-0.001,0.0001,0.00001
90,0.0008,0.001,-0.001,0.0001,0.00002
91,0.0008,0.001,-0.0005,-0.0001,0
92,0.0008,0.001,-0.0005,-0.0001,0.00001
93,0.0008,0.001,-0.0005,-0.0001,0.00002
94,0.0008,0.001,-0.0005,-0.00005,0
95,0.0008,0.001,-0.0005,-0.00005,0.00001
96,0.0008,0.001,-0.0005,-0.00005,0.00002
97,0.0008,0.001,-0.0005,0,0
98,0.0008,0.001,-0.0005,0,0.00001
99,0.0008,0.001,-0.0005,0,0.00002
100,0.0008,0.001,-0.0005,0.00005,0
101,0.0008,0.001,-0.0005,0.00005,0.00001
102,0.0008,0.001,-0.0005,0.00005,0.00002
103,0.0008,0.001,-0.0005,0.0001,0
104,0.0008,0.001,-0.0005,0.0001,0.00001
105,0.0008,0.001,-0.0005,0.0001,0.00002
106,0.0008,0.001,0,-0.0001,0
107,0.0008,0.001,0,-0.0001,0.00001
108,0.0008,0.001,0,-0.0001,0.00002
109,0.0008,0.001,0,-0.00005,0
110,0.0008,0.001,0,-0.00005,0.00001
111,0.0008,0.001,0,-0.00005,0.00002
112,0.0008,0.001,0,0,0
113,0.0008,0.001,0,0,0.00001
114,0.0008,0.001,0,0,0.00002
115,0.0008,0.001,0,0.00005,0
116,0.0008,0.001,0,0.00005,0.00001
117,0.0008,0.001,0,0.00005,0.00002
118,0.0008,0.001,0,0.0001,0
119,0.0008,0.001,0,0.0001,0.00001
120,0.0008,0.001,0,0.0001,0.00002
121,0.0008,0.001,0.0005,-0.0001,0
122,0.0008,0.001,0.0005,-0.0001,0.00001
123,0.0008,0.001,0.0005,-0.0001,0.00002
124,0.0008,0.001,0.0005,-0.00005,0
125,0.0008,0.001,0.0005,-0.00005,0.00001
126,0.0008,0.001,0.0005,-0.00005,0.00002
127,0.0008,0.001,0.0005,0,0
128,0.0008,0.001,0.0005,0,0.00001
129,0.0008,0.001,0.0005,0,0.00002
130,0.0008,0.001,0.0005,0.00005,0
131,0.0008,0.001,0.0005,0.00005,0.00001
132,0.0008,0.001,0.0005,0.00005,0.00002
133,0.0008,0.001,0.0005,0.0001,0
134,0.0008,0.001,0.0005,0.0001,0.00001
135,0.0008,0.001,0.0005,0.0001,0.00002
136,0.0008,0.001,0.001,-0.0001,0
137,0.0008,0.001,0.001,-0.0001,0.00001
138,0.0008,0.001,0.001,-0.0001,0.00002
139,0.0008,0.001,0.001,-0.00005,0
140,0.0008,0.001,0.001,-0.00005,0.00001
141,0.0008,0.001,0.001,-0.00005,0.00002
142,0.0008,0.001,0.001,0,0
143,0.0008,0.001,0.001,0,0.00001
144,0.0008,0.001,0.001,0,0.00002
145,0.0008,0.001,0.001,0.00005,0
146,0.0008,0.001,0.001,0.00005,0.00001
147,0.0008,0.001,0.001,0.00005,0.00002
148,0.0008,0.001,0.001,0.0001,0
149,0.0008,0.001,0.001,0.0001,0.00001
150,0.0008,0.001,0.001,0.0001,0.00002
151,0.0008,0.0012,-0.001,-0.0001,0
152,0.0008,0.0012,-0.001,-0.0001,0.00001
153,0.0008,0.0012,-0.001,-0.0001,0.00002
154,0.0008,0.0012,-0.001,-0.00005,0
155,0.0008,0.0012,-0.001,-0.00005,0.00001
156,0.0008,0.0012,-0.001,-0.00005,0.00002
157,0.0008,0.0012,-0.001,0,0
158,0.0008,0.0012,-0.001,0,0.00001
159,0.0008,0.0012,-0.001,0,0.00002
160,0.0008,0.0012,-0.001,0.00005,0
161,0.0008,0.0012,-0.001,0.00005,0.00001
162,0.0008,0.0012,-0.001,0.00005,0.00002
163,0.0008,0.0012,-0.001,0.0001,0
164,0.0008,0.0012,-0.001,0.0001,0.00001
165,0.0008,0.0012,-0.001,0.0001,0.00002
166,0.0008,0.0012,-0.0005,-0.0001,0
167,0.0008,0.0012,-0.0005,-0.0001,0.00001
168,0.0008,0.0012,-0.0005,-0.0001,0.00002
169,0.0008,0.0012,-0.0005,-0.00005,0
170,0.0008,0.0012,-0.0005,-0.00005,0.00001
171,0.0008,0.0012,-0.0005,-0.00005,0.00002
172,0.0008,0.0012,-0.0005,0,0
173,0.0008,0.0012,-0.0005,0,0.00001
174,0.0008,0.0012,-0.0005,0,0.00002
175,0.0008,0.0012,-0.0005,0.00005,0
176,0.0008,0.0012,-0.0005,0.00005,0.00001
177,0.0008,0.0012,-0.0005,0.00005,0.00002
178,0.0008,0.0012,-0.0005,0.0001,0
179,0.0008,0.0012,-0.0005,0.0001,0.00001
180,0.0008,0.0012,-0.0005,0.0001,0.00002
181,0.0008,0.0012,0,-0.0001,0
182,0.0008,0.0012,0,-0.0001,0.00001
183,0.0008,0.0012,0,-0.0001,0.00002
184,0.0008,0.0012,0,-0.00005,0
185,0.0008,0.0012,0,-0.00005,0.00001
186,0.0008,0.0012,0,-0.00005,0.00002
187,0.0008,0.0012,0,0,0
188,0.0008,0.0012,0,0,0.00001
189,0.0008,0.0012,0,0,0.00002
190,0.0008,0.0012,0,0.00005,0
191,0.0008,0.0012,0,0.00005,0.00001
192,0.0008,0.0012,0,0.00005,0.00002
193,0.0008,0.0012,0,0.0001,0
194,0.0008,0.0012,0,0.0001,0.00001
195,0.0008,0.0012,0,0.0001,0.00002
196,0.0008,0.0012,0.0005,-0.0001,0
197,0.0008,0.0012,0.0005,-0.0001,0.00001
198,0.0008,0.0012,0.0005,-0.0001,0.00002
199,0.0008,0.0012,0.0005,-0.00005,0
200,0.0008,0.0012,0.0005,-0.00005,0.00001
201,0.0008,0.0012,0.0005,-0.00005,0.00002
202,0.0008,0.0012,0.0005,0,0
203,0.0008,0.0012,0.0005,0,0.00001
204,0.0008,0.0012,0.0005,0,0.00002
205,0.0008,0.0012,0.0005,0.00005,0
206,0.0008,0.0012,0.0005,0.00005,0.00001
207,0.0008,0.0012,0.0005,0.00005,0.00002
208,0.0008,0.0012,0.0005,0.0001,0
209,0.0008,0.0012,0.0005,0.0001,0.00001
210,0.0008,0.0012,0.0005,0.0001,0.00002
211,0.0008,0.0012,0.001,-0.0001,0
212,0.0008,0.0012,0.001,-0.0001,0.00001
213,0.0008,0.0012,0.001,-0.0001,0.00002
214,0.0008,0.0012,0.001,-0.00005,0
215,0.0008,0.0012,0.001,-0.00005,0.00001
216,0.0008,0.0012,0.001,-0.00005,0.00002
217,0.0008,0.0012,0.001,0,0
218,0.0008,0.0012,0.001,0,0.00001
219,0.0008,0.0012,0.001,0,0.00002
220,0.0008,0.0012,0.001,0.00005,0
221,0.0008,0.0012,0.001,0.00005,0.00001
222,0.0008,0.0012,0.001,0.00005,0.00002
223,0.0008,0.0012,0.001,0.0001,0
224,0.0008,0.0012,0.001,0.0001,0.00001
225,0.0008,0.0012,0.001,0.0001,0.00002
226,0.001,0.0008,-0.001,-0.0001,0
227,0.001,0.0008,-0.001,-0.0001,0.00001
228,0.001,0.0008,-0.001,-0.0001,0.00002
229,0.001,0.0008,-0.001,-0.00005,0
230,0.001,0.0008,-0.001,-0.00005,0.00001
231,0.001,0.0008,-0.001,-0.00005,0.00002
232,0.001,0.0008,-0.001,0,0
233,0.001,0.0008,-0.001,0,0.00001
234,0.001,0.0008,-0.001,0,0.00002
235,0.001,0.0008,-0.001,0.00005,0
236,0.001,0.0008,-0.001,0.00005,0.00001
237,0.001,0.0008,-0.001,0.00005,0.00002
238,0.001,0.0008,-0.001,0.0001,0
239,0.001,0.0008,-0.001,0.0001,0.00001
240,0.001,0.0008,-0.001,0.0001,0.00002
241,0.001,0.0008,-0.0005,-0.0001,0
242,0.001,0.0008,-0.0005,-0.0001,0.00001
243,0.001,0.0008,-0.0005,-0.0001,0.00002
244,0.001,0.0008,-0.0005,-0.00005,0
245,0.001,0.0008,-0.0005,-0.00005,0.00001
246,0.001,0.0008,-0.0005,-0.00005,0.00002
247,0.001,0.0008,-0.0005,0,0
248,0.001,0.0008,-0.0005,0,0.00001
249,0.001,0.0008,-0.0005,0,0.00002
250,0.001,0.0008,-0.0005,0.00005,0
251,0.001,0.0008,-0.0005,0.00005,0.00001
252,0.001,0.0008,-0.0005,0.00005,0.00002
253,0.001,0.0008,-0.0005,0.0001,0
254,0.001,0.0008,-0.0005,0.0001,0.00001
255,0.001,0.0008,-0.0005,0.0001,0.00002
256,0.001,0.0008,0,-0.0001,0
257,0.001,0.0008,0,-0.0001,0.00001
258,0.001,0.0008,0,-0.0001,0.00002
259,0.001,0.0008,0,-0.00005,0
260,0.001,0.0008,0,-0.00005,0.00001
261,0.001,0.0008,0,-0.00005,0.00002
262,0.001,0.0008,0,0,0
263,0.001,0.0008,0,0,0.00001
